resume_text,job_role
"Candidate has experience as a Data Scientist. Skilled in C++, Docker, Scikit-learn, Communication, Data Analysis, PyTorch, Leadership, Pandas, AWS, Deep Learning. Education: B.Sc Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Data Scientist. Skilled in Flask, Data Analysis, NumPy, Python, Communication, PyTorch, Leadership, Java. Education: B.Tech Information Technology. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Machine Learning Engineer. Skilled in Data Analysis, Machine Learning, Docker, C++, Communication. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Business Analyst. Skilled in Problem Solving, Docker, PyTorch, TensorFlow, Tableau, Python. Education: B.Tech Information Technology. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a AI Engineer. Skilled in Communication, Scikit-learn, Flask, Data Analysis, Problem Solving, Docker. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Business Analyst. Skilled in Problem Solving, Machine Learning, NumPy, Scikit-learn, Java. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Software Engineer. Skilled in SQL, C++, Problem Solving, Data Analysis, TensorFlow, AWS, Deep Learning, Azure. Education: MCA. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Software Engineer. Skilled in Flask, Pandas, Data Analysis, Deep Learning, Leadership. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Data Scientist. Skilled in Leadership, Excel, TensorFlow, Pandas, Deep Learning, Java, Tableau, Problem Solving, Python. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Data Analyst. Skilled in Machine Learning, Leadership, Power BI, Flask, NumPy, Java. Education: B.Tech Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in Excel, Flask, Git, AWS, Python, TensorFlow, PyTorch, Power BI. Education: B.Sc Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Data Scientist. Skilled in Git, Python, AWS, Data Analysis, Tableau, NumPy, Pandas, Azure, Docker. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a AI Engineer. Skilled in Problem Solving, NumPy, Data Analysis, Machine Learning, Flask. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in Flask, Docker, Data Analysis, AWS, NLP, SQL, Leadership, Java. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Business Analyst. Skilled in SQL, Python, C++, Flask, PyTorch, TensorFlow, Java, Communication, Problem Solving, Tableau. Education: B.Sc Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Business Analyst. Skilled in Excel, Python, NLP, Docker, Leadership, NumPy, Git, Pandas, Communication, TensorFlow. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Data Scientist. Skilled in Tableau, SQL, Python, TensorFlow, Java. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Business Analyst. Skilled in TensorFlow, C++, Azure, Pandas, Tableau, Deep Learning, Git, Python, Problem Solving, Java. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Software Engineer. Skilled in NLP, Tableau, Data Analysis, Pandas, Docker, Git, Flask, PyTorch, Machine Learning, NumPy. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Software Engineer. Skilled in TensorFlow, Machine Learning, Leadership, Excel, Power BI, SQL, Java, Tableau. Education: B.Sc Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Flask, Pandas, Scikit-learn, PyTorch, Problem Solving, Excel, Tableau. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a AI Engineer. Skilled in AWS, Power BI, SQL, Azure, Tableau. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in TensorFlow, Leadership, Problem Solving, Python, Scikit-learn. Education: B.Tech Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Scientist. Skilled in C++, Machine Learning, TensorFlow, Git, Python, Pandas, Problem Solving. Education: B.Tech Information Technology. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Software Engineer. Skilled in AWS, Power BI, Flask, NumPy, Excel, Problem Solving, Communication, Git. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Business Analyst. Skilled in Excel, Machine Learning, C++, SQL, Docker. Education: B.Tech Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in Power BI, Docker, Git, Tableau, Pandas. Education: B.Tech Information Technology. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Software Engineer. Skilled in NLP, NumPy, AWS, Tableau, Flask, Python. Education: MCA. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Business Analyst. Skilled in Communication, Pandas, Flask, TensorFlow, Python, Problem Solving, NumPy, Java, Scikit-learn, NLP. Education: B.Tech Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Software Engineer. Skilled in Data Analysis, Power BI, Leadership, Scikit-learn, Problem Solving, Tableau, Pandas, Azure. Education: B.Tech Information Technology. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Business Analyst. Skilled in Problem Solving, Machine Learning, Java, C++, Scikit-learn, Data Analysis, Pandas. Education: B.Sc Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Data Analyst. Skilled in NLP, C++, SQL, Flask, Docker, Git, Azure. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in Scikit-learn, AWS, Problem Solving, NumPy, Leadership, NLP, Python, C++, Communication. Education: B.Tech Information Technology. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a AI Engineer. Skilled in NLP, Problem Solving, TensorFlow, Pandas, NumPy, Azure, PyTorch. Education: MCA. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Software Engineer. Skilled in Power BI, NumPy, Scikit-learn, Machine Learning, AWS, Git, Flask. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a AI Engineer. Skilled in Problem Solving, SQL, Tableau, C++, Git, Leadership, Flask. Education: B.Tech Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a AI Engineer. Skilled in Docker, Deep Learning, Pandas, C++, Azure. Education: B.Sc Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in Excel, Azure, Tableau, Communication, SQL. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a AI Engineer. Skilled in Azure, NLP, Python, Data Analysis, NumPy, PyTorch. Education: B.Tech Information Technology. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Business Analyst. Skilled in Communication, Power BI, Pandas, SQL, AWS, Azure, PyTorch, Problem Solving, Docker. Education: B.Sc Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in Excel, Docker, Deep Learning, Problem Solving, C++, Java, TensorFlow, Machine Learning, Flask. Education: B.Sc Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Power BI, Leadership, Git, Flask, Deep Learning, SQL, NLP, Excel, Machine Learning, Communication. Education: B.Tech Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Business Analyst. Skilled in Tableau, AWS, Power BI, NLP, Docker, Data Analysis. Education: B.Tech Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Software Engineer. Skilled in Docker, Azure, Java, AWS, TensorFlow, NumPy. Education: B.Tech Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Pandas, Tableau, NLP, Communication, Java, Deep Learning. Education: B.Tech Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Software Engineer. Skilled in Git, Communication, Data Analysis, Excel, Docker, Machine Learning, NumPy, Leadership, NLP. Education: B.Tech Information Technology. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Software Engineer
